Title,Name,Type.of.name,Role,All.names,Dates.associated.with.name,Date.of.publication ,Country.of.publication,Place.of.publication,City,Colony.Name,Continent,Publisher,Edition,Languages,Type.of.resource,Content.type,Material type,Uniform title,﻿BL.record.ID,URL,BL shelfmark,ARK,,
"The British Columbia Pilot, including the Coast of British Columbia, from Juan de Fuca Strait to Portland Canal, together with Vancouver and Queen Charlotte Islands, etc.","Great Britain, Hydrographic Department",organisation,N/A,"Great Britain, Hydrographic Department [organisation] ; Jarrad, Frederick William [person] ; Sharp, William Henry [person]",N/A,1888,England,London,Unspecified,"British Columbia, Canada",America,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. British Columbia,014810031,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005219A,Digital Store 10496.f.18,ark:/81055/vdc_00000005219A,N/A,N/A
"The Channel Islands Pilot; or sailing directions for Guernsey, Serk, Alderney, and Jersey.","Great Britain, Hydrographic Department",organisation,N/A,"Richards, John, Captain, R.N. [person] ; Great Britain, Hydrographic Department [organisation]",N/A,1870,England,London,Unspecified,Isle of Guernsey,Europe,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Channel Islands,014810033,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034218,Digital Store 10496.f.25*,ark:/81055/vdc_000000034218,N/A,N/A
"The Guernsey Island Pilot. Islands of Guernsey, Herm, and Serk, and Great and Little Russel Channels","Great Britain, Hydrographic Department",organisation,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1863,England,London,Unspecified,Isle of Guernsey,Europe,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Channel Islands,014810034,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034260,Digital Store 10496.g.9,ark:/81055/vdc_000000034260,N/A,N/A
The Gulf of Aden Pilot ... Compiled from memoires of Officers of the Indian Navy,"Great Britain, Hydrographic Department",organisation,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1887,England,London,Aden,Aden,Asia,Hydrographic Office,Third Edition,English,Monograph,Text,Online resource,Sailing Directions. Aden,014810000,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034068,Digital Store 10496.e.3,ark:/81055/vdc_000000034068,N/A,N/A
The Gulf of Aden Pilot ... Compiled from memoires of Officers of the Indian Navy,"Ward, C.Y",person,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1882,England,London,Aden,Aden,Asia,Hydrographic Office,Second Edition,English,Monograph,Text,Online resource,Sailing Directions. Aden,014809999,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034062,Digital Store 10496.e.2,ark:/81055/vdc_000000034062,N/A,N/A
The Gulf of Aden Pilot ... Compiled from memoires of Officers of the Indian Navy,"Ward, C.Y",person,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1863,England,London,Aden,Aden,Asia,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Aden,014809998,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034056,Digital Store 10496.e.1,ark:/81055/vdc_000000034056,N/A,N/A
The New Zealand Pilot. From surveys made in H.M. Ships Acheron and Pandora.,"Evans, F.J.",person,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1883,England,London,Unspecified,New Zealand,Oceania,Hydrographic Office,Fifth Edition,English,Monograph,Text,Online resource,Sailing Directions. New Zealand,014885287,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000017CA6,Digital Store 10496.gg.3,ark:/81055/vdc_000000017CA6,N/A,N/A
"The Newfoundland and Labrador Pilot. ... Originally compiled by Staff Commander W. F. Maxwell, R.N. ","MacFarlane, J. R. H. ",person,N/A,"Maxwell, W. F. [person] ; Great Britain, Hydrographic Department [organisation] ; Macfarlane, James Richard Hill [person]",N/A,1897,England,London,Unspecified,"British Columbia, Canada",America,Hydrographic Office,Third Edition,English,Monograph,Text,Online resource,Sailing Directions. Newfoundland,014810061,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000035238,Digital Store 10496.gg.6,ark:/81055/vdc_000000035238,N/A,N/A
"The Newfoundland Pilot, etc. (Supplement.)","Great Britain, Hydrographic Department",organisation,N/A,"Great Britain, Hydrographic Department [organisation]",N/A,1878,England,London,Unspecified,"British Columbia, Canada",America,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Newfoundland,014885288,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000017CBE,Digital Store 10496.gg.4,ark:/81055/vdc_000000017CBE,N/A,N/A
"The Nova Scotia Pilot. South-East Coast, from Mars Head to Cape Canso.",BayfieldL H.W.,person,N/A,"Great Britain, Hydrographic Department [organisation] ; Bayfield, Henry Wolsey [person]",N/A,1860,England,London,Unspecified,Nova Scotia,America,Hydrographic Office,N/A,English,Monograph,Text,Online resource,Sailing Directions. Nova Scotia,014810067,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003441C,Digital Store 10496.gg.18,ark:/81055/vdc_00000003441C,N/A,N/A
